Date,Open,High,Low,Close,Adj Close,Volume
2015-03-20,1051.000000,1059.500000,1045.949951,1055.900024,1026.075684,1620809
2015-03-23,1055.949951,1059.400024,1046.000000,1047.750000,1018.155884,1361685
2015-03-24,1043.300049,1057.000000,1035.449951,1037.949951,1008.632690,2243391
2015-03-25,1040.050049,1046.699951,1031.099976,1034.250000,1005.037231,2652225
2015-03-26,1026.900024,1032.199951,1002.099976,1006.950012,978.508423,8950155
2015-03-27,1014.950012,1023.549988,1008.099976,1014.650024,985.990845,2710224
2015-03-30,1020.000000,1039.000000,1012.799988,1036.900024,1007.612366,1738786
2015-03-31,1039.900024,1039.900024,1014.849976,1022.700012,993.813416,1490564
2015-04-01,1026.099976,1036.849976,1013.000000,1033.250000,1004.065491,961049
2015-04-06,1035.000000,1036.849976,1019.799988,1031.949951,1002.802185,1787793
2015-04-07,1033.250000,1038.199951,1023.650024,1032.750000,1003.579590,1549268
2015-04-08,1040.050049,1042.449951,1030.050049,1035.550049,1006.300476,1026536
2015-04-09,1038.250000,1059.000000,1030.000000,1056.099976,1026.270142,1750696
2015-04-10,1053.000000,1053.000000,1034.849976,1042.650024,1013.199951,1529831
2015-04-13,1040.000000,1046.300049,1034.800049,1038.800049,1009.458801,1140809
2015-04-15,1040.000000,1048.699951,1025.199951,1031.650024,1002.510681,1223499
2015-04-16,1028.000000,1033.550049,1018.000000,1029.650024,1000.567139,1402530
2015-04-17,1025.099976,1027.849976,1016.049988,1018.250000,989.489136,1012253
2015-04-20,1020.000000,1025.000000,1002.599976,1005.099976,976.710571,1297220
2015-04-21,1005.000000,1014.400024,995.599976,1003.000000,974.669983,1627686
2015-04-22,1006.500000,1021.000000,993.500000,1013.099976,984.484558,1691484
2015-04-23,1020.049988,1024.199951,1006.099976,1013.500000,984.873352,2406957
2015-04-24,1018.900024,1019.000000,1000.349976,1006.450012,978.022522,1801311
2015-04-27,1006.950012,1012.500000,996.000000,1005.450012,977.050659,1842676
2015-04-28,999.549988,1011.450012,990.099976,1004.549988,976.176147,1985527
2015-04-29,1004.000000,1009.500000,988.000000,993.150024,965.098145,1965891
2015-04-30,991.000000,995.000000,979.049988,988.799988,960.870972,3785921
2015-05-04,994.049988,1009.500000,992.000000,1000.950012,972.677856,785362
2015-05-05,999.049988,1003.900024,985.849976,987.650024,959.753479,1284501
2015-05-06,987.500000,987.500000,965.500000,970.599976,943.185059,2751924
2015-05-07,968.000000,970.000000,944.200012,951.299988,924.430237,2934166
2015-05-08,961.500000,987.799988,955.400024,982.000000,954.263000,2892983
2015-05-11,986.049988,992.750000,974.049988,990.299988,962.328552,1682836
2015-05-12,990.000000,990.000000,967.000000,971.950012,944.496887,2776892
2015-05-13,975.849976,993.400024,971.599976,990.250000,962.279968,1947962
2015-05-14,989.000000,994.849976,974.000000,991.049988,963.057434,1113797
2015-05-15,994.900024,997.549988,984.200012,990.099976,962.134277,2038406
2015-05-18,996.000000,1012.000000,992.000000,1009.849976,981.326355,1428326
2015-05-19,1006.349976,1018.000000,998.099976,1007.549988,979.091370,1196587
2015-05-20,1009.650024,1026.800049,1009.549988,1024.050049,995.125427,1002210
2015-05-21,1024.000000,1030.000000,1015.099976,1024.699951,995.756897,983595
2015-05-22,1024.699951,1029.000000,1018.349976,1024.300049,995.368347,1172384
2015-05-25,1028.400024,1031.000000,1017.599976,1023.549988,994.639465,1092265
2015-05-26,1024.449951,1030.199951,1018.049988,1027.400024,998.380676,1226586
2015-05-27,1023.799988,1040.000000,1021.400024,1038.150024,1008.827026,804648
2015-05-28,1039.050049,1043.699951,1022.200012,1029.400024,1000.324219,2390290
2015-05-29,1029.949951,1054.000000,1027.150024,1050.550049,1020.876953,1264670
2015-06-01,1048.949951,1056.000000,1031.000000,1036.199951,1006.932129,960330
2015-06-02,1038.400024,1040.300049,1004.900024,1008.799988,980.306091,1181502
2015-06-03,1009.000000,1017.000000,998.000000,1005.549988,977.147827,1456208
2015-06-04,1008.849976,1017.849976,995.000000,1014.950012,986.282349,1389397
2015-06-05,1010.250000,1018.500000,1002.500000,1011.750000,983.172729,1688465
